n,symbol,name,mint,createdUtc,ageHours,ageBand,marketCapUsd,payouts,paidUsd,rewardLabels
161,GALBLN,Gallblin,GFWCAzhKjJEMgbBMVrNqkHnWWsRWS4nVEsaCY7kH5ALL,2026-09-12T05:41:32+00:00,0.12172027777777777,0-3h,2940.6180588591415,0,,['WMTx']
160,ABC,All Buy Cat,356VAvX7pqn73Sqar5NfLkqMfHNQgrAjniPRkTqmKHGR,2026-09-12T05:32:46+00:00,0.2678313888888889,0-3h,2970.0623787619916,0,,['ALL (default)']
159,‎,‎,9ixD9tSCjBEgtD4S2yQV914Z7767yTLCEVGPuxUqvALL,2026-09-12T05:16:43+00:00,0.5353313888888889,0-3h,2855.3486550627035,6,,['ALL (default)']
158,∞,infinity,A9gvjk7Duo8cExsfWxW2autULe5YEkXbnUjpbZUShALL,2026-09-12T05:10:54+00:00,0.6322758333333334,0-3h,3503.0586966399487,1,,['ALL (default)']
157,AI,ALL INU,7UZSia9hDUUchUNiZ42RwZtBnAmKN3NC17C8J6cM2ALL,2026-09-12T04:57:05+00:00,0.8625536111111111,0-3h,2849.409506152763,0,,['NVDAx']
156,CABALL,Cab*ALL,9fW1qNDJ39UnVWL544PcUYnHEtgd63WGdoEJzmqGmALL,2026-09-12T04:37:08+00:00,1.1950536111111112,0-3h,2921.0967172631913,3,,['AMDx']
155,BBC,Big Black Cock,Eijf6KStmZusYfgwXSu6DC1udhsUQCbyvyunwqcGxALL,2026-09-12T04:36:55+00:00,1.1986647222222222,0-3h,2849.4095128013846,3,,['MSTRx']
154,$$ALLAI,ALL AI,4P28KmEcwwnYHMdgJDkk7F1eYKgUqrPJwryaYDxWQALL,2026-09-12T04:32:33+00:00,1.2714425,0-3h,2874.004478617805,2,,['ALL (default)']
153,PCAT,PUMPCAT,Bgwau2PbxEp4ALnWkaqNxM9yqSYeLGvX5pocwH23CALL,2026-09-12T04:02:56+00:00,1.765053611111111,0-3h,3015.3451622246776,2,,['PUMP']
152,LOYAL,LOYAL,6MX2aBUHVizAjy6dFHyNHkSuRPF3KCoZT9ReBrjLwALL,2026-09-12T03:58:39+00:00,1.8364425,0-3h,2849.409506532684,0,,['NVDAx']
151,PCAT,PUMP CAT,HR1tgtRXe2hkqREK4MvzvePg1WzDGuFqYFv9MBBttALL,2026-09-12T03:57:48+00:00,1.8506091666666666,0-3h,2858.7979988848197,0,,['PUMP']
150,TEST1,test1,HLwhrif3rFEDZBoxPwyf3AmP2tgBgDdVFQn5aBcGCALL,2026-09-12T03:45:43+00:00,2.0519980555555555,0-3h,2849.409506247743,0,,['ALLCAT']
