"chain","rank","pair","token","name","symbol","quote","quoteAddress","uiAge","createdAt","ageHours","priceUsd","marketCap","liquidityUsd","volumeH1","volumeH6","volumeH24","buysH1","sellsH1","changeH1","changeH6","boosts","websites","socials","capturedAt","error"
"base","1","0x99cf3e8bfb02c300312c53aac5d0b082e3d5975c","0xB095274743941e953c746F9C228DA9c18Bb6ec29","LAPTOP","LAPTOP","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","",,,"0.3830","134068469","1606745.46","52686.4","204824.63","1676200.29","112","241","-3.96","-5.97",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","2","0xf79478d5a6bae4546f7e489e80b2fc690b558944","0xB2000000000000000000004c27f6523082f41D01","Basecat","Basecat","WETH","0x4200000000000000000000000000000000000006","26d","8/15/2026 9:08:29 PM","657.097","0.02406","24067728","499937.58","108559.39","322352","3252833.34","51","97","2.63","11.29",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","3","0x7692acc1cdd771d09ebcae3663e1843b2911bec7","0x5ab000ff9B9FfE0349CE5ffA5fD86f217C3680F5","The Stonks Exchange","STONKEX","WETH","0x4200000000000000000000000000000000000006","17d","8/24/2026 3:19:45 PM","446.909","0.01216","11123573","618108.47","20622.2","269387.18","2796805.45","42","31","-0.98","-17.94",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","4","0xc9786476d2492eb8ddb2ebf8b4b69e227e1f31397c790d877541ab0ed5cf5ee2","0x0F61Edbfe6Cd86024C0f210c0695B08df55fdfc9","BaseStonk","BSTONK","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","25d","8/17/2026 1:06:35 AM","629.129","0.006604","5859696","275624.61","14945.75","256463.32","793588.06","40","16","-1.23","-2.9",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","5","0xb49ce96e99b5eb8fe3c7a03687d9c6d83302172dd2737fb88f9ac133baf3c24c","0x39988BF0638Edb8c65cE0fB9e1e457C575157BA3","Fly Language Model","FLM","GOOGLc","0xb2000000000000000000002D0BA3164cc74f58B7","8h","9/11/2026 10:03:15 PM","8.184","0.000001206","120610","79265.07","33929.39","74301.43","1025892.18","103","252","25.9","110",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","6","0x85f1aa3a70fedd1c52705c15baed143e675cd626","0x9B5E262cF9bb04869ab40b19AF91D2dc85761722","Nock","NOCK","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","8mo","12/22/2025 9:52:39 PM","6320.361","0.04382","101335823","1507288.02","22914.06","720493.34","2077802.7","19","22","-1.21","22",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","7","0x5116773e18a9c7bb03ebb961b38678e45e238923","0x3ec2156D4c0A9CBdAB4a016633b7BcF6a8d68Ea2","DebtReliefBot","DRB","WETH","0x4200000000000000000000000000000000000006","1y","3/7/2025 9:58:57 AM","13292.256","0.0002070","20432055","1525565.84","16955.75","179336.38","488078.92","12","15","2.74","8.74",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","8","0x9f8353f61574da73218206ad3f70d9455bfed9c4","0xCB2BAff7177C8966A8b059b3Df3e9323dc2Ee267","iStonks","ISTONKS","AAPLc","0xb200000000000000000000C2e324d24d7eEcd1fb","12h","9/11/2026 5:33:05 PM","12.687","0.0001710","171024","48743.25","7494.44","70843.86","585764.73","28","20","-26.94","-43.86",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","9","0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce","0xacfE6019Ed1A7Dc6f7B508C02d1b04ec88cC21bf","Venice Token","VVV","WETH","0x4200000000000000000000000000000000000006","1y","1/27/2025 4:44:43 PM","14221.493","23.42","1129202674","14215436.69","44054.33","390853.28","3737025.05","162","59","-0.91","-0.55",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","10","0x4b095f294d8efca4b50b948865e68262025a68ba80e759b5b75cddb995c6b43f","0xB200000000000000000000cFbdF64a8706a94a01","BLUE CHIP","BLUECHIP","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","18d","8/23/2026 12:02:47 PM","474.192","0.01715","17156451","191389.53","5218.53","110011.77","860423.7","14","8","0.22","9.34",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","11","0x0c3b466104545efa096b8f944c1e524e1d0d4888","0xA4A2E2ca3fBfE21aed83471D28b6f65A233C6e00","Ribbita by Virtuals","TIBBIR","VIRTUAL","0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b","1y","1/12/2025 12:30:03 AM","14597.737","0.2109","210883571","2975858.88","3010.1","128567.98","319088.88","12","15","-0.26","8.94",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","12","0x215b2146c3164aba3f5b18e8619b737c7f7dd11e5ba693646dcd9a336c5a30ba","0xB2000000000000000000004c27f6523082f41D01","Basecat","Basecat","ETH","0x0000000000000000000000000000000000000000","26d","8/15/2026 6:03:49 PM","660.175","0.02383","23833419","725796.22","43549.16","154692.3","2077163.92","53","47","0.6","9.67",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","13","0x1131db5977242a03ebead1acd18f80a9a29e5922","0x311935Cd80B76769bF2ecC9D8Ab7635b2139cf82","Solana","SOL","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","",,,"101.54","23098782","598674.96","67870.01","559758.43","7715078.73","51","49","0.03","-0.73",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","14","0xbcdd8383e38069f626846b94e93ee4d2c00cadfcce4b9457b0b8b04289030345","0x75Af968d2e58749FDA1b42C58186B76f5E511bA3","ChipWorks","CHIP","WETH","0x4200000000000000000000000000000000000006","3d","9/8/2026 4:34:21 PM","85.666","0.000005378","532739","169587.41","15462.1","54122.1","303870.17","42","69","-18.21","-5.61",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","15","0x3f0296bf652e19bca772ec3df08b32732f93014a","0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b","Virtual Protocol","VIRTUAL","WETH","0x4200000000000000000000000000000000000006","",,,"0.6348","417972912","368047.22","18239.59","165615.55","1220387.67","76","103","-0.07","0.95",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","16","0x5e916637e7c271972049cf33039e0feba2e8b6ba43b5e163e7720f15b3163deb","0xb20000000000000000000029440A9564B59129B1","plumber","plumber","ETH","0x0000000000000000000000000000000000000000","1mo","8/12/2026 12:34:29 AM","749.664","0.001242","1242576","125894.71","4020.52","37795.37","351702.95","14","14","11","-6.72",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","17","0x851f65bcdf6485f15047d4dea1cf8cb60ad1a815bbed7d2e8373a32b954045e4","0xA6af0cEa8FBC93E1eCcC00f1FdD9a0BBa251FeE1","iPod","IPOD","AAPLc","0xb200000000000000000000C2e324d24d7eEcd1fb","14d","8/27/2026 1:47:09 PM","376.452","0.001427","1427474","418106.56","11871.63","42242.32","358638.64","15","34","-19.01","-14.27",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","18","0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce","0x9f86dB9fc6f7c9408e8Fda3Ff8ce4e78ac7a6b07","clawd.atg.eth","CLAWD","WETH","0x4200000000000000000000000000000000000006","7mo","1/26/2026 9:48:55 PM","5480.423","0.000007373","719071","243640.37","150.35","70649.07","76941.06","1","5","0.14","34.44",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","19","0xd9edc75a3a797ec92ca370f19051babebfb2edee","0xc0634090F2Fe6c6d75e61Be2b949464aBB498973","Keeta","KTA","WETH","0x4200000000000000000000000000000000000006","1y","3/5/2025 6:32:33 PM","13331.696","0.09242","55713078","4691564.81","8842.84","50135.13","614041.48","24","7","0.2","2.33",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","20","0xec33256bf1ded407a57fd3c1965e7556e42ac14db09bc4e6fef57d5e2eb0b0b9","0x5F980Dcfc4c0fa3911554cf5ab288ed0eb13DBa3","gitlawb","GITLAWB","WETH","0x4200000000000000000000000000000000000006","6mo","3/11/2026 2:00:07 AM","4444.236","0.00002667","2658392","524028.75","9767.61","15477.55","223614.09","8","6","6.76","7.76",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","21","0x6cdcb1c4a4d1c3c6d054b27ac5b77e89eafb971d","0x940181a94A35A4569E4529A3CDfB74e38FD98631","Aerodrome","AERO","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","3y","9/7/2023 10:50:45 PM","26407.392","0.5697","1127199976","33748933.68","36866.1","251741.95","6614757.86","18","44","0.27","0.17",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","22","0xa6979745954ea4976d4c94a5957c225801de74b4ef6ab22d122854fb09405e06","0xC6405D7a226e1C18E559Be2F335F74C01Ad07bF5","Stockify","STFY","ETH","0x0000000000000000000000000000000000000000","22d","8/19/2026 5:55:05 PM","564.32","0.001799","1799324","155145.75","2416.01","16353.92","221992.77","4","6","-3.19","3.68",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","23","0xa3b1e3f9747065e2073722ff4c9027d3ea4994f0","0xb200000000000000000000C2e324d24d7eEcd1fb","Apple Inc.","AAPLc","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","",,,"332.97","1704552","1748184.08","85120.32","668771.14","7157184.13","141","157","0.01","0.12",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","24","0x863e852fe65a6226bcc7a2ca0a32aa5435126cfd","0xf5F11BC9Be9D6690f795D04d2fc9bdd097008a2B","basedpad.fun","BPAD","USDC","0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913","24d","8/17/2026 10:09:35 PM","608.079","0.0004575","387572","71839.09","1390.63","33745.47","516913.12","7","13","-6.82","28.06",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"base","25","0x5f547579519beaa158cddd3543604029165f66e86a00c373d0ee90c38784921b","0x23A2847d772803f9EFC64B4277b782b06296FE51","Dot","DOT","ETH","0x0000000000000000000000000000000000000000","3mo","5/27/2026 5:10:59 PM","2581.055","0.005199","4577949","362835.97","7316.83","16882.02","159651.54","5","10","-5.17","-9.71",,"System.Object[]","System.Object[]","9/12/2026 6:14:17 AM",
"bsc","1","0x3ea3f9a7b7edbfe0ba3568bfc0f30ba870b7553d","0xfa6D9B504848606Eb9aeC04CCc161D169B3f2159","BREW","BREW","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","6d","9/6/2026 3:08:47 AM","147.092","0.02278","22784869","1080576.24","113118.7","1336110.98","8395122.86","225","270","-3.68","-3.25",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","2","0xcec13213c390d51121f82ba2ecafb8e11e0af7a3","0xe210C0583C1071714EDed2d8bEEab05Ab5bB7777","BinanceTown","BinanceTown","USDT","0x55d398326f99059fF775485246999027B3197955","17h","9/11/2026 12:52:10 PM","17.369","0.0006243","624308","222646.39","950557.33","5719685.81","16681729.15","288","239","5.89","120",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","3","0x22af7297243c4eef12e2d5a4f888b92e56bf127c","0xeCCBb861c0dda7eFd964010085488B69317e4444","龙虾","龙虾","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","6mo","2/27/2026 8:50:40 AM","4725.394","0.1221","122117185","2976452.39","781308.32","8471244.51","12468397.31","1502","1293","6.88","68.87",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","4","0xd09e60fb451cdc6e1fcd0e1dee6db553e89dafa9","0x7d1A8DBB40B7b5518ef69b93a6fAEba91eea7777","Bitcat","BITCAT","BTCB","0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c","3d","9/9/2026 12:43:47 AM","77.509","0.0004190","419071","78779.59","14991.06","113571.48","226938.87","99","57","-8.44","11.9","50","System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","5","0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8","0xCae117ca6Bc8A341D2E7207F30E180f0e5618B9D","ARK","ARK","USDT","0x55d398326f99059fF775485246999027B3197955","1y","8/26/2025 11:16:17 AM","9162.967","5.39","13686925","53006158.86","204051.48","538077.82","2356569.08","1023","1015","0.22","0.15",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","6","0xf0ca0a1dcd9fc30ad5570e1882a483f8e4cafbb6","0x4E0026B2A27F60CD7eD8BB71F9489501B1F87777","BUDDY - First Crypto Dog","BUDDY","BTCB","0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c","6h","9/11/2026 11:47:47 PM","6.442","0.0001790","179080","43168.67","28122.99","322391.32","322391.32","152","157","-34.18","325",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","7","0xd6fe21107c05a153d419edc3d93072066d52dff9","0x113D68C8CcA4fE5bA25f49c00784079D168E7777","Suica Rabbit","うさぎ","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","3d","9/8/2026 6:25:53 PM","83.807","0.005774","5774142","281162.63","160138.5","808279.16","5428172.64","236","196","-12.03","39.38",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","8","0x2f62969a74159bfc9365d8cd29ae8f6d15582204","0x7ec43Cf65F1663F820427C62A5780b8f2E25593A","LAB","LAB","USDT","0x55d398326f99059fF775485246999027B3197955","",,,"0.08031","32411832","152604.19","200109.41","1949929.71","7589395.05","1576","1674","0.9","3.74",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","9","0xe5ae318389b8d6d09370a675479c64862152d126","0xBEEA1D618e533a387D941F58a7d4c9b7bD377777","牛来","牛来","USDT","0x55d398326f99059fF775485246999027B3197955","26d","8/15/2026 10:00:03 PM","656.238","0.1390","139072078","1649466.58","751542.46","2569717.29","18059973.29","713","591","9.85","8.39",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","10","0xf49d9c79a07922d3846c762c73b4df65205ef772","0x265B3982Ea730748100947F52561A4EAb54afFFF","ast.fun","AST","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","13d","8/28/2026 2:53:57 PM","351.339","0.001778","1752835","196068.61","160021.48","272266.02","672661.21","566","536","49.39","63",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","11","0x1a1def8c55238986c7067a57726a058d3497b608","0x3c1127070996a55D838A1E2743249DC28Cec7777","BinanceTown","BinanceTown","QQQB","0x205812CdBed920aFf76C6580abD681a46D11efc7","20h","9/11/2026 9:24:05 AM","20.837","0.0003312","285543","63192.22","42033.7","93438.31","5336017.65","240","154","30.6","40.82",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","12","0xf4a627351fc6bcef0e7c2a02b7b8524fbe265e26","0x795a3a4e90F837ae137ed2C92509f5F59c474547","Knot","KNOT","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","6h","9/12/2026 12:08:54 AM","6.09","0.001690","1690610","177437.71","3988.15","557414.2","1102959.02","3","19","-2.08","104",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","13","0xe6edc555061d1d9fe0145867b7ea7b07da840898","0xF1c599E9A5FBDEA408a7409C0176a2fE42C64444","Hachiko Inu","Hachiko","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","8mo","12/14/2025 7:15:10 AM","6526.986","0.001349","1276470","153614.71","108650.05","468472.91","1526143.39","830","917","-4.58","-14.72",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","14","0x14ca9d552ed2cf0d5dfd1f89bc6793a464e2ed16","0xFe189E97832DA1573e4e4Ff034F4fFC3a15c7777","MarsCoin","MarsCoin","USDT","0x55d398326f99059fF775485246999027B3197955","1mo","7/30/2026 7:47:04 AM","1054.454","0.1130","112956853","412537.68","102625.74","612191.85","5014293.27","185","152","-0.46","-1.21",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","15","0x33d2e1eeb4d399591c11ac9ad64863fa11678304","0xEe22fCE582Dc4120f07e13e42B55Ee75246e7777","牛梦","牛梦","QQQB","0x205812CdBed920aFf76C6580abD681a46D11efc7","1d","9/10/2026 2:02:00 PM","40.205","0.0008248","824859","91445.32","15253.52","182104.97","1309490.07","125","145","8.64","-16.96",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","16","0xffca411cfbcd3194503effa80fd394b55387915c","0x2Ab8A4Dd2191989aC2898006Df350B236D2B7777","施工猫","Sue","WBNB","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","17d","8/24/2026 12:48:33 PM","449.429","0.004944","4944335","357881.31","32863.06","163325.5","1975319.28","77","99","13.12","1.13",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
"bsc","17","0x2fe13112be502026671a6e76af45d14ec394022d","0xd270D4e1EC6e6E0d28C0ecB8BE966EC75997FFfF","4Stock","4Stock","USDT","0x55d398326f99059fF775485246999027B3197955","4d","9/8/2026 3:14:37 AM","98.995","0.02843","28098464","339466.43","138008.5","856565.21","7508784.17","246","238","-1.58","1.85",,"System.Object[]","System.Object[]","9/12/2026 6:14:18 AM",
