chain,rank,pair,uiAge
base,1,0x99cf3e8bfb02c300312c53aac5d0b082e3d5975c,
base,2,0xf79478d5a6bae4546f7e489e80b2fc690b558944,26d
base,3,0x7692acc1cdd771d09ebcae3663e1843b2911bec7,17d
base,4,0xc9786476d2492eb8ddb2ebf8b4b69e227e1f31397c790d877541ab0ed5cf5ee2,25d
base,5,0xb49ce96e99b5eb8fe3c7a03687d9c6d83302172dd2737fb88f9ac133baf3c24c,8h
base,6,0x85f1aa3a70fedd1c52705c15baed143e675cd626,8mo
base,7,0x5116773e18a9c7bb03ebb961b38678e45e238923,1y
base,8,0x9f8353f61574da73218206ad3f70d9455bfed9c4,12h
base,9,0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce,1y
base,10,0x4b095f294d8efca4b50b948865e68262025a68ba80e759b5b75cddb995c6b43f,18d
base,11,0x0c3b466104545efa096b8f944c1e524e1d0d4888,1y
base,12,0x215b2146c3164aba3f5b18e8619b737c7f7dd11e5ba693646dcd9a336c5a30ba,26d
base,13,0x1131db5977242a03ebead1acd18f80a9a29e5922,
base,14,0xbcdd8383e38069f626846b94e93ee4d2c00cadfcce4b9457b0b8b04289030345,3d
base,15,0x3f0296bf652e19bca772ec3df08b32732f93014a,
base,16,0x5e916637e7c271972049cf33039e0feba2e8b6ba43b5e163e7720f15b3163deb,1mo
base,17,0x851f65bcdf6485f15047d4dea1cf8cb60ad1a815bbed7d2e8373a32b954045e4,14d
base,18,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce,7mo
base,19,0xd9edc75a3a797ec92ca370f19051babebfb2edee,1y
base,20,0xec33256bf1ded407a57fd3c1965e7556e42ac14db09bc4e6fef57d5e2eb0b0b9,6mo
base,21,0x6cdcb1c4a4d1c3c6d054b27ac5b77e89eafb971d,3y
base,22,0xa6979745954ea4976d4c94a5957c225801de74b4ef6ab22d122854fb09405e06,22d
base,23,0xa3b1e3f9747065e2073722ff4c9027d3ea4994f0,
base,24,0x863e852fe65a6226bcc7a2ca0a32aa5435126cfd,24d
base,25,0x5f547579519beaa158cddd3543604029165f66e86a00c373d0ee90c38784921b,3mo
bsc,1,0x3ea3f9a7b7edbfe0ba3568bfc0f30ba870b7553d,6d
bsc,2,0xcec13213c390d51121f82ba2ecafb8e11e0af7a3,17h
bsc,3,0x22af7297243c4eef12e2d5a4f888b92e56bf127c,6mo
bsc,4,0xd09e60fb451cdc6e1fcd0e1dee6db553e89dafa9,3d
bsc,5,0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8,1y
bsc,6,0xf0ca0a1dcd9fc30ad5570e1882a483f8e4cafbb6,6h
bsc,7,0xd6fe21107c05a153d419edc3d93072066d52dff9,3d
bsc,8,0x2f62969a74159bfc9365d8cd29ae8f6d15582204,
bsc,9,0xe5ae318389b8d6d09370a675479c64862152d126,26d
bsc,10,0xf49d9c79a07922d3846c762c73b4df65205ef772,13d
bsc,11,0x1a1def8c55238986c7067a57726a058d3497b608,20h
bsc,12,0xf4a627351fc6bcef0e7c2a02b7b8524fbe265e26,6h
bsc,13,0xe6edc555061d1d9fe0145867b7ea7b07da840898,8mo
bsc,14,0x14ca9d552ed2cf0d5dfd1f89bc6793a464e2ed16,1mo
bsc,15,0x33d2e1eeb4d399591c11ac9ad64863fa11678304,1d
bsc,16,0xffca411cfbcd3194503effa80fd394b55387915c,17d
bsc,17,0x2fe13112be502026671a6e76af45d14ec394022d,4d
bsc,18,0xf0a949d3d93b833c183a27ee067165b6f2c9625e,11mo
bsc,19,0x6865704ff097b1105ed42b8517020e14fe9a2abd,1y
bsc,20,0xc33bacff9141da689875e6381c1932348ab4c5cb,11mo
bsc,21,0xbed17ca05ca914ed977f86c53e8f2607d9f1c9ec,5d
bsc,22,0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480,8mo
bsc,23,0xd4ae7dd719ec71594f13d0e3b17e65e9085f1ca1,19d
bsc,24,0x727a96f1992169921c2660b58f1caa01a8b4f4b9,4d
bsc,25,0x933477eba23726ca95a957cb85dbb1957267ef85,4y
