"chain","rank","pair","requestedPair","matched","token","name","symbol","quote","quoteAddress","uiAge","createdAt","ageHours","priceUsd","marketCap","liquidityUsd","volumeH1","volumeH6","volumeH24","buysH1","sellsH1","changeH1","changeH6","boosts","websites","socials","capturedAt"
"solana","1","HKPrXoz4EqJ5HU9m9PmTTTxSRwoB2Hbknd6UqUTsf2Yt","hkprxoz4eqj5hu9m9pmtttxsrwob2hbknd6uqutsf2yt","True","BGU4TfDLpV1JeJGXVgSbZkLSRxgAzcsQci1vEbaWJVcm","Artificial Cat INU","CATAI","NVDAx","Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh","12h","11/9/2026 17:50:44","12,748","0.0006975","697595","81535,83","64980,89","839816,66","3078450,45","469","276","69,88","101","800","System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","2","8Tfvhwk6swWCjo7DNKrp89wWqrTdj6o9HBoDhfXT2dy6","8tfvhwk6swwcjo7dnkrp89wwqrtdj6o9hbodhfxt2dy6","True","FLk6FKAN26m1FT4ucguwy3uHBMzLKcEu8KMTYD2Zpump","Stunk","Stunk","SOL","So11111111111111111111111111111111111111112","12h","11/9/2026 18:12:37","12,383","0.001963","1951334","126831,38","154089,05","1107064,42","3953473,63","8522","5812","-2,92","3,39","730","System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","3","uzAK8txfJAvqS9VHtDaYAWfBiYbzwq4BzxdiFJTQEnJ","uzak8txfjavqs9vhtdayawfbiybzwq4bzxdifjtqenj","True","ASoQZA3Dee2HU34Vwx3b5SAtTaczJtZcyx1T413nDALL","all","ALL","SOL","So11111111111111111111111111111111111111112","10h","11/9/2026 19:38:17","10,955","0.002371","2253538","170403,05","230694,31","2453128,01","12669804,92","1159","885","-3,61","-7,55",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","4","BtKFCWBQ3T16saR8pN4hkEuhLV2s7Vo65oBqvF7eEZSz","btkfcwbq3t16sar8pn4hkeuhlv2s7vo65obqvf7eezsz","True","BifUDWQFpbTrSxYXBnqCpAVYgcyQGzHzJk2MDmeM2Gyv","Artificial Cat","TCAT","TAO","taoC6xyv2v8tDLcev4uaGUgV4vdQsWJrGft2kcBRrBY","1d","10/9/2026 22:32:17","32,055","0.001961","1961602","113794,19","6177,62","56528,35","410176,58","19","11","-6,38","9,69",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","5","2ZNq5HMi3Z9DfTED2j2HHzkKBpmRgWZ31RcQ1oPGoLJ8","2znq5hmi3z9dfted2j2hhzkkbpmrgwz31rcq1opgolj8","True","EWnSZW86xhJ91nvxPjdZD3g1SqhHj7q8eqY6DEUKpump","Satu Wallet Token","SATu","SOL","So11111111111111111111111111111111111111112","7mo","4/2/2026 23:26:30","5263,152","0.0001355","132020","36567,4","450,9","2367,87","7299,67","269","3","0,03","93,91","500","System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","6","2y6PCqa4fEp3jLiFdan9jVMw7LSK8F3gwsTfy8p7traE","2y6pcqa4fep3jlifdan9jvmw7lsk8f3gwstfy8p7trae","True","5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6","embercurve","EMBER","MET","METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL","2d","9/9/2026 22:25:01","56,177","0.01582","15781016","411935,98","77551,92","643948,6","18824091,16","310","147","27,3","6,27",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","7","AbXLP7NmNiPn7iJiRJKRVoQ8Vs6SNzkuBRMFiRVygvtY","abxlp7nmnipn7ijirjkrvoq8vs6snzkubrmfirvygvty","True","zzjkh1hLbvsFJXWLfE6h4JNbcnRj4eteuKRw42PN2tC","Meme Man","MM","STONK","6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx","2d","9/9/2026 14:33:34","64,034","0.0009578","957804","141295,38","34456,79","192556,52","1119787,43","2296","2155","37,33","24,55","100","System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","8","H2KJ699rzrbiH8D8E1gQ6J86wLZTTVkrpB9RhXaWnZ54","h2kj699rzrbih8d8e1gq6j86wlzttvkrpb9rhxawnz54","True","Gt9brNVXP7gdGtUqZLcJAhbZTjLEcKrA53F18fRSEeAp","ㅤ","ㅤ","ZEC","A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS","7h","11/9/2026 23:33:02","7,043","0.0001556","155688","36971,28","71307,6","1396794,02","2767364,05","623","321","-51,88","-66,21",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","9","8XXnvNEMU3UoMRPWY2KJBW5z1T2KKj6vH9WYJfcGDqYQ","8xxnvnemu3uomrpwy2kjbw5z1t2kkj6vh9wyjfcgdqyq","True","3URpNcV9wAPjwMAyuBsPjwwkGN9wFJuwcRs3RMbdpair","Pairz","PAIRZ","SOL","So11111111111111111111111111111111111111112","7d","5/9/2026 04:33:19","170,038","0.001860","1794621","120066,88","14105,73","372546,36","1323135,66","641","224","1,96","-19,32","100","System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","10","6zCSdnTE8c3KXWuosxSnBt4wWsN9zTA73umKijP2p6au","6zcsdnte8c3kxwuosxsnbt4wwsn9zta73umkijp2p6au","True","CdAoD87kYKHbtRFawiSqQJMX1pbKisoG7Ha1oJ47kB26","donkey kong","DKNG","DKNG","DKNGQFNGQmoBdXSRGKJ8tTu7uPDasw5JDcfMmWniNfow","10h","11/9/2026 20:06:21","10,488","0.0006838","683865","74371,47","61925,97","1255745,21","6284627,88","328","185","-31,65","-16,38",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
