chain,rank,pair,uiSymbol,uiQuote,uiAge
solana,1,hkprxoz4eqj5hu9m9pmtttxsrwob2hbknd6uqutsf2yt,CATAI,NVDAx,12h
solana,2,8tfvhwk6swwcjo7dnkrp89wwqrtdj6o9hbodhfxt2dy6,Stunk,SOL,12h
solana,3,uzak8txfjavqs9vhtdayawfbiybzwq4bzxdifjtqenj,ALL,SOL,10h
solana,4,btkfcwbq3t16sar8pn4hkeuhlv2s7vo65obqvf7eezsz,TCAT,TAO,1d
solana,5,2znq5hmi3z9dfted2j2hhzkkbpmrgwz31rcq1opgolj8,SATu,SOL,7mo
solana,6,2y6pcqa4fep3jlifdan9jvmw7lsk8f3gwstfy8p7trae,EMBER,MET,2d
solana,7,abxlp7nmnipn7ijirjkrvoq8vs6snzkubrmfirvygvty,MM,STONK,2d
solana,8,h2kj699rzrbih8d8e1gq6j86wlzttvkrpb9rhxawnz54,ㅤ,ZEC,7h
solana,9,8xxnvnemu3uomrpwy2kjbw5z1t2kkj6vh9wyjfcgdqyq,PAIRZ,SOL,7d
solana,10,6zcsdnte8c3kxwuosxsnbt4wwsn9zta73umkijp2p6au,DKNG,DKNG,10h
solana,11,cb7zrgplhji3th7htxykeqbxvnjppetvckxuwakbuhxu,baton,PUMP,2d
solana,12,5dysxy1hj8dxejsfhjr9wyrsulhw6wclkk7idc1kszun,OS,CARDS,7h
solana,13,23b6d3fvdu2eizxyblgwdm2w2vn1bdrwjtr6ncfqpxge,FLAME,EMBER,20h
solana,14,5752ia7jc3zu1c8ycytasyi5d4nvhapskvregbs7pwwl,ALLINU,DKNG,10h
solana,15,zxtpi4btawx3mgdapoezkmd1hxx8cdecfrqxmwvsclx,STONK,SOL,29d
solana,16,cxkwgui737v9edzkltu5aehqnwx4kntnn3ggqt9tf6wk,LAMA,SOL,3h
solana,17,btccxxtfi7a9xjte1exkn38jgie35s6gnerxd8dm61rc,ZCAT,ZEC,11d
solana,18,da4pm4xsdy4m9v4cgakkbvh1pw1ysctqqa5nekghukpt,OTC,SOL,13d
solana,19,afrddtgywcveqb1gxcahr8i48o6qtxyqksdvkeludehg,STONK,SOL,1mo
solana,20,hx6nx5hd143euhnvb5n7itsuebsex4k9ne6zycybbrmi,LOOP,KNOTS,1d
solana,21,hmzvseemtzhhvznw9uwbag85hctmfnkbhzux16cy7ca3,CATE,SOL,1mo
solana,22,zf7utk56dm7en5kxnvtpd9at66bamjb6dfzuqbhvgbr,revolve,SOL,58m
solana,23,gbrdaq3rjcvwerolduwmnuq8n5xaakj2rk2djdg64cly,EMBER,SOL,2d
solana,24,fnzky6x7entq1er3d225dqyt7ybfka4pskbmqhb8l3cc,ANSEM,SOL,2mo
solana,25,6e4ewhhgzrbmiskkat7qcx28dytjdnyrobnxwrpl5wfn,EMBER,USDC,2d
